id,spanish,english,level,partOfSpeech,imageQuery
1,"gato","cat",A1,noun,"cat"
2,"perro","dog",A1,noun,"dog"
3,"casa","house",A1,noun,"house"
4,"correr","to run",A1,verb,"person running"
5,"cocinar","to cook",A1,verb,"person cooking"
6,"banco","bank",A1,noun,"bank building"
7,"avión","airplane",A1,noun,"airplane"
8,"agua","water",A1,noun,"glass of water"
9,"árbol","tree",A1,noun,"green tree"
10,"libro","book",A1,noun,"open book"
11,"mesa","table",A1,noun,"wooden table"
12,"comida","food",A1,noun,"plate of food"
13,"escuela","school",A1,noun,"school building"
14,"pero","but",A1,conjunction,"pero"
15,"porque","because",A1,conjunction,"porque"
16,"escribir","to write",A1,verb,"person writing"
17,"sol","sun",A1,noun,"bright sun sky"
18,"luna","moon",A1,noun,"full moon"
19,"playa","beach",A1,noun,"tropical beach"
20,"familia","family",A1,noun,"happy family"
21,"amigo","friend",A1,noun,"friends smiling"
22,"dormir","to sleep",A1,verb,"person sleeping"
23,"feliz","happy",A1,adjective,"happy face"
24,"música","music",A1,noun,"headphones music"
25,"comer","to eat",A1,verb,"person eating"
26,"beber","to drink",A1,verb,"person drinking water"
27,"manzana","apple",A1,noun,"red apple"
28,"leche","milk",A1,noun,"glass of milk"
29,"pan","bread",A1,noun,"loaf of bread"
30,"café","coffee",A1,noun,"cup of coffee"
31,"té","tea",A1,noun,"cup of tea"
32,"carne","meat",A1,noun,"cooked steak"
33,"pescado","fish",A1,noun,"cooked fish"
34,"fruta","fruit",A1,noun,"fresh fruit basket"
35,"verdura","vegetable",A1,noun,"fresh vegetables"
36,"queso","cheese",A1,noun,"block of cheese"
37,"huevo","egg",A1,noun,"fried egg"
38,"arroz","rice",A1,noun,"bowl of rice"
39,"sopa","soup",A1,noun,"bowl of hot soup"
40,"azúcar","sugar",A1,noun,"bowl of sugar"
41,"sal","salt",A1,noun,"salt shaker"
42,"puerta","door",A1,noun,"wooden door"
43,"ventana","window",A1,noun,"open window"
44,"silla","chair",A1,noun,"wooden chair"
45,"cama","bed",A1,noun,"bedroom bed"
46,"baño","bathroom",A1,noun,"clean bathroom"
47,"cocina","kitchen",A1,noun,"modern kitchen"
48,"jardín","garden",A1,noun,"flower garden"
49,"piso","apartment",A1,noun,"apartment building"
50,"calle","street",A1,noun,"city street"
51,"parque","park",A1,noun,"green park"
52,"tienda","store",A1,noun,"retail store"
53,"mercado","market",A1,noun,"fruit market"
54,"hospital","hospital",A1,noun,"hospital building"
55,"estación","station",A1,noun,"train station"
56,"hotel","hotel",A1,noun,"hotel building"
57,"restaurante","restaurant",A1,noun,"dining restaurant"
58,"coche","car",A1,noun,"modern car"
59,"autobús","bus",A1,noun,"city bus"
60,"tren","train",A1,noun,"passenger train"
61,"bicicleta","bicycle",A1,noun,"bicycle"
62,"taxista","taxi driver",A1,noun,"taxi driver"
63,"zapato","shoe",A1,noun,"pair of shoes"
64,"camisa","shirt",A1,noun,"buttoned shirt"
